unOrig,unVia,unDest,orig,via,dest,dischargePort,scacCode,carrierName,contractNumber,rateType,amendmentNumber,effectiveDate,expirationDate,updateTime,40FT,40HC,DTHC40FT,DTHC40HC,ALLIN40FT,ALLIN40HC
USCHS,USCHS,AEJEA,"Charleston, SC, USCHS","Charleston, SC, USCHS","Jebel Ali, , AEJEA",CNSHA,YMJA,YML,51625,DRY,9,4/23/2026,5/15/2026,5/11/2026 4:10,2672,2672,235.27,235.27,2907.27,2907.27
USCHS,USCHS,AEJEA,"Charleston, SC, USCHS","Charleston, SC, USCHS","Jebel Ali, , AEJEA",CNNBG,YMJA,YML,51625,DRY,9,4/23/2026,5/15/2026,5/11/2026 4:10,2672,2672,235.27,235.27,2907.27,2907.27
USCHS,USCHS,AEJEA,"Charleston, SC, USCHS","Charleston, SC, USCHS","Jebel Ali, , AEJEA",CNNBG,YMJA,YML,51625,DRY,9,5/16/2026,6/30/2026,5/11/2026 4:10,2806,2806,235.27,235.27,3041.27,3041.27
USCHS,USCHS,AEJEA,"Charleston, SC, USCHS","Charleston, SC, USCHS","Jebel Ali, , AEJEA",CNSHA,YMJA,YML,51625,DRY,9,5/16/2026,6/30/2026,5/11/2026 4:10,2806,2806,235.27,235.27,3041.27,3041.27
USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,YMJA,YML,51625,DRY,9,4/23/2026,5/15/2026,5/10/2026 3:45,1457,1457,0,0,1457,1457
USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,YMJA,YML,51625,DRY,9,5/16/2026,6/30/2026,5/10/2026 3:45,1591,1591,0,0,1591,1591
USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,ONEY,ONE,CHIM354B25,DRY,15,5/16/2026,6/30/2026,5/7/2026 4:10,1700,1700,150,150,1850,1850
USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,ONEY,ONE,CHIM354B25,DRY,15,5/6/2026,5/15/2026,5/7/2026 4:10,1700,1700,150,150,1850,1850
USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,OOLU,OOCL,MT256104,DRY,16,4/1/2026,6/30/2026,5/10/2026 4:10,1968,1968,65,65,2033,2033
USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,MAEU,Maersk,300094432,DRY,0,4/1/2026,9/30/2026,3/25/2026 3:45,2474,2474,0,0,2474,2474
