Warehouse|Name|City|State|ESO|Flat Bed Fees|Late Fees|Transportation Adjust|Misc Fees|Grace Period
111|Black Belt Gin Inc.|SELMA|AL||||||
520|Moseley Intl. Inc.|Abbeville|AL||||||
1100|Associated Growers Gin & Whse-Athens|Athens|AL||||||
4004|Covington Gin Company|Andalusia|AL||||||
11515|South Limestone Coop|Belle Mina|AL||||||
22715|Plaza Cotton Storage, LLC|Centre|AL||||||
29010|Servico Warehouse|Courtland|AL||||||
31400|5-Lock Gin|Dothan|AL||||||
32035|Union Comp/Decatur|Decatur|AL||||||
34512|Fuller Warehouse and Gin|Eclectic|AL||||||
36016|Coffee Gin Co LLC Whse|Enterprise|AL||||||
39720|Oakland Gin Co.|Florence|AL||||||
39770|Scruggs and Vaden Warehouse, LLC|Florence|AL||||||
51005|Sowega Cotton|Hartford|AL||||||
52020|Henry County Gin|Headland|AL||||||
52650|Hillsboro Gin Company Inc|Hillsboro|AL||||||
54205|Holtville Gin and Warehouse|Deatsville|AL||||||
62306|Loxley Warehouses, LLC|Loxley|AL||||||
63010|McCullough Bonded Warehouse|McCullough|AL||||||
73073|Cotton Growers Coop Inc - New Market|New Market|AL||||||
96505|Marengo Warehouse, Inc.|Sweet Water|AL||||||
99010|Taylor Gin and Tallassee Whse.|Tallassee|AL||||||
101020|Cotton Producers Coop Town Creek|Leighton|AL||||||
120945|Anderson Clayton Warehouse|Eloy|AZ||||||
122007|Calcot LTD Warehouse|Glendale|AZ||||||
122530|Federal Compress Pichaco|Eloy|AZ||||||24 hrs
122531|Updike Distribution Logistics|Phoenix|AZ||||||
129004|Caruthersville Cotton Warehouse|Blytheville|AR||||||
129010|FCW- Blytheville|Blytheville|AR||||||24 hrs
129129|Staplcotn Compress and Warehouse-Blytheville|Blytheville|AR||||||
134900|The Gin House, LLC (TGH)|Dermott|AR||||||
517814|Bernie Farmers Gin Warehouse|Malden|MO||||||
137001|Dumas Cotton Warehouse Inc|Dumas|AR|||2.5|||
140300|Marianna Warehousing, LLC|Caldwell|AR||||||
140301|Marianna Warehousing LLC|Forrest City|AR||||||
149500|Rabbit Ridge Gin and Warehouse, LLC|Dyess|AR||||||
151005|Federal Compress McGhee|McGehee|AR||||||24 hrs
152705|Federal Warehouse|Manila|AR||||||24 hrs
153005|Marianna Warehouse|Marianna|AR||||||
153505|Crittenden Gin Bonded Warehouse|Crawfordsville|AR||||||
156002|Childress Warehouse|Monette|AR||||||
156006|Marianna Warehousing, LLC-Plant No. 2|Marianna|AR||||||
160006|GPS Bonded Warehouse|Portland|AR||||||
160008|Portland Compress and Warehouse, Inc.|Portland|AR||||||
160009|Portland Gin and Warehouse, Inc.|Portland|AR||||||
166150|Marion Distribution Center|West Memphis|AR||||||
167003|Union Comp/W Memphis|West Memphis|AR||||||
167025|Staplcotn/W. Memphis|West Memphis|AR||||||
167035|Riverbend Warehouse|West Memphis|AR||||||
176000|Bakersfield Cotton Warehouse|Bakersfield|CA||||||
176001|Calcot LTD Warehouse|Bakersfield|CA||||||
176006|Prime West Shipping Inc|Bakersfield|CA||||||
177501|Fambro Warehouse Company|Fresno|CA||||||
178580|Duncot Warehouse|McFarland|CA||||||
201501|Burkhead Warehouse|Jay|FL||||||
201505|Golden Gin and Warehouse|Jay|FL||||||
208710|West Florida Gin and Warehouse|Walnut Hill|FL||||||
