Warehouse,Name,City,State,Region,Export,Port,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc  Fees,Consol Interest
111,Black Belt Gin Inc.,SELMA,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
520,Moseley Intl. Inc.,Abbeville,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
1100,Associated Growers Gin & Whse-Athens,Athens,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
4004,Covington Gin Company,Andalusia,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
11515,South Limestone Coop,Belle Mina,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
22715,"Plaza Cotton Storage, LLC",Centre,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
29010,Servico Warehouse,Courtland,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
31400,5-Lock Gin,Dothan,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
32035,Union Comp/Decatur,Decatur,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
34512,Fuller Warehouse and Gin,Eclectic,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
36016,Coffee Gin Co LLC Whse,Enterprise,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
39720,Oakland Gin Co.,Florence,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
39770,"Scruggs and Vaden Warehouse, LLC",Florence,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
51005,Sowega Cotton,Hartford,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
52020,Henry County Gin,Headland,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
52650,Hillsboro Gin Company Inc,Hillsboro,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
54205,Holtville Gin and Warehouse,Deatsville,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
62306,"Loxley Warehouses, LLC",Loxley,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
63010,McCullough Bonded Warehouse,McCullough,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
73073,Cotton Growers Coop Inc - New Market,New Market,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
96505,"Marengo Warehouse, Inc.",Sweet Water,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
99010,Taylor Gin and Tallassee Whse.,Tallassee,AL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
101020,Cotton Producers Coop Town Creek,Leighton,AL,Eastern Rule 5,ER5,Memphis,0,0,0,0,0,0
120945,Anderson Clayton Warehouse,Eloy,AZ,Southwest,,Los Angeles,0,0,0,0,0,0
122007,Calcot LTD Warehouse,Glendale,AZ,Southwest,,Los Angeles,0,0,0,0,0,0
122530,Federal Compress Pichaco,Eloy,AZ,Southwest,,Los Angeles,0,0,0,0,0,0
122531,Updike Distribution Logistics,Phoenix,AZ,Southwest,,Los Angeles,0,0,0,0,0,0
129004,Caruthersville Cotton Warehouse,Blytheville,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
129010,FCW- Blytheville,Blytheville,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
129129,Staplcotn Compress and Warehouse-Blytheville,Blytheville,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
134900,"The Gin House, LLC (TGH)",Dermott,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
136015,Farmers First Gin Company,Dell,AR,Memphis Rule 5,MR5,Memphis,1,1,0.25,0,0,0
137001,Dumas Cotton Warehouse Inc,Dumas,AR,Memphis Rule 5,MR5,Memphis,0,0,2.5,0,0,0
140300,"Marianna Warehousing, LLC",Caldwell,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
140301,Marianna Warehousing LLC,Forrest City,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
149500,"Rabbit Ridge Gin and Warehouse, LLC",Dyess,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
151005,Federal Compress McGhee,McGehee,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
152705,Federal Warehouse,Manila,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
153005,Marianna Warehouse,Marianna,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
153505,Crittenden Gin Bonded Warehouse,Crawfordsville,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
156002,Childress Warehouse,Monette,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
156006,"Marianna Warehousing, LLC-Plant No. 2",Marianna,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
160006,GPS Bonded Warehouse,Portland,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
160008,"Portland Compress and Warehouse, Inc.",Portland,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
160009,"Portland Gin  and Warehouse, Inc.",Portland,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
166150,Marion Distribution Center,West Memphis,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
167003,Union Comp/W Memphis,West Memphis,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
167025,Staplcotn/W. Memphis,West Memphis,AR,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
