Warehouse,Region,Export,Port,Name,City,State,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc Fees,Grace Period
111,Eastern Rule 1,ER5,Savannah,Black Belt Gin Inc.,SELMA,AL,,,,,,
520,Eastern Rule 5,ER5,Savannah,Moseley Intl. Inc.,Abbeville,XX,,,,,,
1100,Eastern Rule 5,ER5,Savannah,Associated Growers Gin & Whse-Athens,Athens,AL,,,,,,
4004,Eastern Rule 5,ER5,Savannah,Covington Gin Company,Andalusia,AL,,,,,,
11515,Eastern Rule 5,ER5,Memphis,South Limestone Coop,Belle Mina,AL,,,,,,
22715,Eastern Rule 5,ER5,Savannah,"Plaza Cotton Storage, LLC",Centre,AL,,,,,,
29010,Eastern Rule 5,ER5,Memphis,Servico Warehouse,CourtlandFINCH,AL,,,,,,
31400,Eastern Rule 5,ER5,Savannah,5-Lock Gin,Dothan,AL,,,,,,
32035,Eastern Rule 5,ER5,Memphis,Union Comp/Decatur,Decatur,AL,,,,,,
34512,Eastern Rule 5,ER5,Savannah,Fuller Warehouse and Gin,Eclectic,AL,,,,,,
36016,Eastern Rule 5,ER5,Savannah,Coffee Gin Co LLC Whse,Enterprise,AL,,,,,,
39720,Eastern Rule 5,ER5,Memphis,Oakland Gin Co.,Florence,AL,,,,,,
39770,Eastern Rule 5,ER5,Memphis,"Scruggs and Vaden Warehouse, LLC",Florence,AL,,,,,,
51005,Eastern Rule 5,ER5,Savannah,Sowega Cotton,Hartford,AL,,,,,,
52020,Eastern Rule 5,ER5,Savannah,Henry County Gin,Headland,AL,,,,,,
52650,Eastern Rule 5,ER5,Memphis,Hillsboro Gin Company Inc,Hillsboro,AL,,,,,,
54205,Eastern Rule 5,ER5,Savannah,Holtville Gin and Warehouse,Deatsville,AL,,,,,,
62306,Eastern Rule 5,ER5,Savannah,"Loxley Warehouses, LLC",Loxley,AL,,,,,,
63010,Eastern Rule 5,ER5,Savannah,McCullough Bonded Warehouse,McCullough,AL,,,,,,
73073,Eastern Rule 5,ER5,Memphis,Cotton Growers Coop Inc - New Market,New Market,AL,,,,,,
96505,Eastern Rule 5,ER5,Savannah,"Marengo Warehouse, Inc.",Sweet Water,AL,,,,,,
99010,Eastern Rule 5,ER5,Savannah,Taylor Gin and Tallassee Whse.,Tallassee,AL,,,,,,
101020,Eastern Rule 5,ER5,Memphis,Cotton Producers Coop Town Creek,Leighton,AL,,,,,,
120945,Southwest,,Los Angeles,Anderson Clayton Warehouse,Eloy,AZ,,,,,,
122007,Southwest,,Los Angeles,Calcot LTD Warehouse,Glendale,AZ,,,,,,
122530,Southwest,,Los Angeles,Federal Compress Pichaco,Eloy,AZ,,,,,,24 hrs
122531,Southwest,,Los Angeles,Updike Distribution Logistics,Phoenix,AZ,,,,,,
129004,Memphis Rule 5,MR5,Memphis,Caruthersville Cotton Warehouse,Blytheville,AR,,,,,,
129010,Memphis Rule 5,MR5,Memphis,FCW- Blytheville,Blytheville,AR,,,,,,24 hrs
129129,Memphis Rule 5,MR5,Memphis,Staplcotn Compress and Warehouse-Blytheville,Blytheville,AR,,,,,,
134900,Memphis Rule 5,MR5,Memphis,"The Gin House, LLC (TGH)",Dermott,AR,,,,,,
517814,Memphis Rule 5,MR5,Memphis,Bernie Farmers Gin Warehouse,Malden,MO,,,,,,
137001,Memphis Rule 5,MR5,Memphis,Dumas Cotton Warehouse Inc,Dumas,AR,,,2.5,,,
140300,Memphis Rule 5,MR5,Memphis,"Marianna Warehousing, LLC",Caldwell,AR,,,,,,
140301,Memphis Rule 5,MR5,Memphis,Marianna Warehousing LLC,Forrest City,AR,,,,,,
149500,Memphis Rule 5,MR5,Memphis,"Rabbit Ridge Gin and Warehouse, LLC",Dyess,AR,,,,,,
151005,Memphis Rule 5,MR5,Memphis,Federal Compress McGhee,McGehee,AR,,,,,,24 hrs
152705,Memphis Rule 5,MR5,Memphis,Federal Warehouse,Manila,AR,,,,,,24 hrs
153005,Memphis Rule 5,MR5,Memphis,Marianna Warehouse,Marianna,AR,,,,,,
153505,Memphis Rule 5,MR5,Memphis,Crittenden Gin Bonded Warehouse,Crawfordsville,AR,,,,,,
156002,Memphis Rule 5,MR5,Memphis,Childress Warehouse,Monette,AR,,,,,,
156006,Memphis Rule 5,MR5,Memphis,"Marianna Warehousing, LLC-Plant No. 2",Marianna,AR,,,,,,
160006,Memphis Rule 5,MR5,Memphis,GPS Bonded Warehouse,Portland,AR,,,,,,
160008,Memphis Rule 5,MR5,Memphis,"Portland Compress and Warehouse, Inc.",Portland,AR,,,,,,
160009,Memphis Rule 5,MR5,Memphis,"Portland Gin and Warehouse, Inc.",Portland,AR,,,,,,
166150,Memphis Rule 5,MR5,Memphis,Marion Distribution Center,West Memphis,AR,,,,,,
167003,Memphis Rule 5,MR5,Memphis,Union Comp/W Memphis,West Memphis,AR,,,,,,
167025,Memphis Rule 5,MR5,Memphis,Staplcotn/W. Memphis,West Memphis,AR,,,,,,
