Warehouse	City	State	Name	County	Terms	Verified	Points	Recv	Strg	Load	Compr	Class	Mark	EffDate	Bales	Rail	ICE Ref	Capacity	CertLoad	CertCompr	CertMark	CertRecv	CertStrg	CertClass	Min Storage	Basis Adj.
111	Selma	AL	Black Belt Gin Inc.	Autauga              	1	Yes	0.0285	4	3	6.25	0	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
520	Abbeville	AL	Moseley Intl. Inc.	Henry                	1	Yes	0.022	0	3.5	7	0	0	0.5	8/1/2025	0	no			0	0	0	0	0	0	0	
1100	Athens	AL	Associated Growers Gin & Whse-Athens	Limestone            	1	Yes	0.0383	2.15	3	6	7.5	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
4004	Andalusia	AL	Covington Gin Company	Covington            	1	Yes	0.005	0	2.5	0	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
11515	Belle Mina	AL	South Limestone Coop	Limestone            	1	Yes	0.0405	4	2	6.75	7	0	0.5	8/1/2025	0	no			0	0	0	0	0	0	0	
22715	Centre	AL	"Plaza Cotton Storage, LLC"	Cherokee             	1	Yes	0.0239	3.25	2.7	5	0	0	1	9/1/2025	2	no			0	0	0	0	0	0	0	
29010	Courtland	AL	Servico Warehouse	Lawrence             	1	Yes	0.0424	4	2.5	6.7	7.5	0	0.5	9/1/2025	0	yes			0	0	0	0	0	0	0	
31400	Dothan	AL	5-Lock Gin	Houston              	1	Yes	0.03	4.5	3.5	6.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
32035	Decatur	AL	Union Comp/Decatur	Morgan               	1	Yes	0.0383	2.15	3	6	7.5	0	0.5	9/1/2025	0	no			6.5	0	0.5	2.5	4.5	0	0	
34512	Eclectic	AL	Fuller Warehouse and Gin	Elmore               	1	Yes	0.023	3.5	2.5	5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
36016	Enterprise	AL	Coffee Gin Co LLC Whse	Coffee               	1	Yes	0.006	0	2.5	0	0	0	0.5	8/1/2025	0	no			0	0	0	0	0	0	0	
39720	Florence	AL	Oakland Gin Co.	Lauderdale           	1	Yes	0.0228	3.15	2.25	6	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
39770	Florence 	AL	"Scruggs and Vaden Warehouse, LLC"	Lauderdale           	1	Yes	0.0336	5	2.5	5	0	4.3	0	9/1/2025	0	no			0	0	0	0	0	0	0	
51005	Hartford	AL	Sowega Cotton	Geneva               	1	Yes	0.006	0	3	0	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
52020	Headland	AL	Henry County Gin	Henry                	1	Yes	0.0057	0	2.85	0	0	0	0	8/1/2025	0	no			0	0	0	0	0	0	0	
52650	Hillsboro	AL	Hillsboro Gin Company Inc	Lawrence             	1	Yes	0.0383	2.65	3	6	7.5	0	0	8/1/2025	0	no			0	0	0	0	0	0	0	
54205	Deatsville	AL	Holtville Gin and Warehouse	Elmore               	1	Yes	0.022	3	2	6	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
62306	Loxley	AL	"Loxley Warehouses, LLC"	Baldwin              	1	Yes	0.0234	3.45	2.25	5	0	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
63010	McCullough	AL	McCullough Bonded Warehouse	Escambia             	1	Yes	0.023	3.75	2.75	5	0	0	0	8/1/2025	0	yes			0	0	0	0	0	0	0	
73073	New Market 	AL	Cotton Growers Coop Inc - New Market	Madison              	1	Yes	0.043	4	3	6	7.5	0	1	8/1/2025	0	no			0	0	0	0	0	0	0	
96505	Sweet Water	AL	"Marengo Warehouse, Inc."	Marengo and choctaw  	1	Yes	0.0415	4	2.75	6	7	0	1	10/1/2025	0	no			0	0	0	0	0	0	0	
99010	Tallassee	AL	Taylor Gin and Tallassee Whse.	Elmore               	1	Yes	0.0269	3.2	1.75	8	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
101020	Leighton	AL	Cotton Producers Coop Town Creek	Lawrence             	1	Yes	0.0472	7.6	2.5	6	7.5	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
120945	Eloy	AZ	Anderson Clayton Warehouse	Pinal                	6	Yes	0.0424	0	0.14	8	9	0	0	8/1/2025	0	no			0	0	0	0	0	0	2.8	
122007	Glendale	AZ	Calcot LTD Warehouse 	Maricopa             	6	Yes	0.0566	4	0.16	9	9.5	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
122530	Eloy	AZ	Federal Compress Pichaco	Pinal                	6	Yes	0.0399	0	0.14	8	7.25	0	0.5	9/1/2025	0	yes			0	0	0	0	0	0	2.8	
122531	Phoenix 	AZ	Updike Distribution Logistics	Maricopa             	6	Yes	0.05	5.25	0.15	5.25	10	0	0	9/1/2025	0	no			0	0	0	0	0	0	3	
129004	Blytheville	AR	Caruthersville Cotton Warehouse	Mississippi          	1	Yes	0.0491	3	3.3	10.25	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
129010	Blytheville	AR	FCW- Blytheville	Mississippi          	1	Yes	0.0532	2.1	3.25	20.75	0	0	0.5	9/1/2025	0	yes			0	0	0	0	0	0	0	
129129	Blytheville 	AR	Staplcotn Compress and Warehouse-Blytheville	Mississippi          	1	Yes	0.0378	1.85	3	4	7	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
134900	Dermott	AR	"The Gin House, LLC (TGH)"	Chicot               	1	Yes	0.051	4	3.25	10.25	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
136015	Dell	AR	Farmers First Gin Company	Mississippi          	1	Yes	0.0495	3.25	3.25	18.25	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
137001	Dumas	AR	Dumas Cotton Warehouse Inc	Desha                	1	Yes	0.0531	0.65	3.35	19	0	3.05	0.5	9/1/2025	0	yes			0	0	0	0	0	0	0	
140300	Caldwell	AR	"Marianna Warehousing, LLC"	St francis           	1	Yes	0.0531	1.75	3.5	18.25	0	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
140301	Forrest City	AR	Marianna Warehousing LLC	St francis           	1	Yes	0.0531	1.75	3.5	18.25	0	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
149500	Dyess	AR	"Rabbit Ridge Gin and Warehouse, LLC"	Mississippi          	1	Yes	0.0453	1.5	2.9	18.25	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
151005	McGehee	AR	Federal Compress McGhee	Desha                	1	Yes	0.0555	2.7	3.25	18.25	0	3.05	0.5	9/1/2025	0	yes			0	0	0	0	0	0	0	
152705	Manila	AR	Federal Warehouse	Mississippi          	1	Yes	0.049	1	3.5	19.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
153005	Marianna	AR	Marianna Warehouse	Lee                  	1	Yes	0.0531	1.75	3.5	18.25	0	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
153505	Crawfordsville	AR	Crittenden Gin Bonded Warehouse	Crittenden           	1	Yes	0.0541	5.05	4	10	8	0	0	8/1/2025	0	no	CRITTN	"92,000"	6.5	0	0.5	2.5	4.5	0	0	
156002	Monette	AR	Childress Warehouse	Craighead            	1	Yes	0.0455	1.5	3	10.25	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
156006	Marianna	AR	"Marianna Warehousing, LLC-Plant No. 2"	Lee                  	1	Yes	0.0531	1.75	3.5	18.25	0	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
160006	Portland	AR	GPS Bonded Warehouse	Ashley               	1	Yes	0.0536	4.8	3.25	9.75	9	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
160008	Portland	AR	"Portland Compress and Warehouse, Inc."	Ashley               	1	Yes	0.0527	5.1	3.25	9	9	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
160009	Portland	AR	"Portland Gin  and Warehouse, Inc."	Ashley               	1	Yes	0.0533	4.4	3.5	9.75	9	0	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
166150	West Memphis	AR	Marion Distribution Center	Crittenden           	1	Yes	0.0521	2.75	3.75	16	0	3.05	0.5	9/1/2025	0	no		"57,000"	4.5	0	0.5	2.5	4.75	0	0	
167003	West Memphis	AR	Union Comp/W Memphis	Crittenden           	1	Yes	0.046	2.25	3.75	16.5	0	0	0.5	9/1/2025	0	yes	UNCOMP	"115,080"	9.5	0	0.5	2.5	4.75	0	0	
167025	West Memphis	AR	Staplcotn/W. Memphis	Crittenden           	1	Yes	0.0378	1.85	3	4	7	3.05	0	9/1/2025	0	yes	STWHSE	"125,000"	4	0	0	1.85	3.75	0	0	
