unOrig,unVia,unDest,orig,via,dest,dischargePort,scacCode,carrierName,contractNumber,rateType,amendmentNumber,effectiveDate,expirationDate,updateTime,40FT,40HC,DTHC40FT,DTHC40HC,ALLIN40FT,ALLIN40HC
USCHI,USNYC,BEANR,"Chicago, IL, USCHI","New York, NY, USNYC","Antwerp, VAN, BEANR",BEANR,ONEY,ONE,CHIM354B25,DRY,15,5/16/2026,6/30/2026,5/6/2026,1060,1060,0,0,1060,1060
USCHI,USLAX,AUBNE,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Brisbane, QLD, AUBNE",AUBNE,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,3000,3000,0,0,3000,3000
USCHI,USSEA,AUBNE,"Chicago, IL, USCHI","Seattle, WA, USSEA","Brisbane, QLD, AUBNE",AUBNE,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,3000,3000,0,0,3000,3000
USCHI,USTIW,AUBNE,"Chicago, IL, USCHI","Tacoma, WA, USTIW","Brisbane, QLD, AUBNE",AUBNE,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,3000,3000,0,0,3000,3000
USCHI,USLAX,VNCMT,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Cai Mep Terminal, 43, VNCMT",VNCMT,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1450,1450,0,0,1450,1450
USCHI,USLAX,VNCMT,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Cai Mep Terminal, 43, VNCMT",VNCMT,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,900,900,0,0,900,900
USCHI,USSEA,VNCMT,"Chicago, IL, USCHI","Seattle, WA, USSEA","Cai Mep Terminal, 43, VNCMT",VNCMT,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1450,1450,0,0,1450,1450
USCHI,USTIW,VNCMT,"Chicago, IL, USCHI","Tacoma, WA, USTIW","Cai Mep Terminal, 43, VNCMT",VNCMT,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1450,1450,0,0,1450,1450
USCHI,USLAX,VNCLI,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Cat Lai, 65, VNCLI",TWKHH,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1150,1150,0,0,1150,1150
USCHI,USLAX,CNCNA,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Changsha, 44, CNCNA",CNCNA,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1925,1925,0,0,1925,1925
USCHI,USSEA,CNCNA,"Chicago, IL, USCHI","Seattle, WA, USSEA","Changsha, 44, CNCNA",CNCNA,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1925,1925,0,0,1925,1925
USCHI,USTIW,CNCNA,"Chicago, IL, USCHI","Tacoma, WA, USTIW","Changsha, 44, CNCNA",CNCNA,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1925,1925,0,0,1925,1925
USCHI,USLAX,CNCZX,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Changzhou Pt, 32, CNCZX",CNCZX,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1300,1300,0,0,1300,1300
USCHI,USSEA,CNCZX,"Chicago, IL, USCHI","Seattle, WA, USSEA","Changzhou Pt, 32, CNCZX",CNCZX,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1300,1300,0,0,1300,1300
USCHI,USTIW,CNCZX,"Chicago, IL, USCHI","Tacoma, WA, USTIW","Changzhou Pt, 32, CNCZX",CNCZX,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1300,1300,0,0,1300,1300
USCHI,USLAX,CNCQI,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Chongqing, 50, CNCQI",CNCQI,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1925,1925,0,0,1925,1925
USCHI,USSEA,CNCQI,"Chicago, IL, USCHI","Seattle, WA, USSEA","Chongqing, 50, CNCQI",CNCQI,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1925,1925,0,0,1925,1925
USCHI,USTIW,CNCQI,"Chicago, IL, USCHI","Tacoma, WA, USTIW","Chongqing, 50, CNCQI",CNCQI,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1925,1925,0,0,1925,1925
USCHI,USLAX,CNDLC,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Dalian, 21, CNDLC",CNDLC,YMJA,YML,051625,DRY,10,5/13/2026,5/31/2026,5/16/2026,1050,1050,0,0,1050,1050
USCHI,USLAX,CNDLC,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Dalian, 21, CNDLC",CNDLC,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1350,1350,0,0,1350,1350
USCHI,USSEA,CNDLC,"Chicago, IL, USCHI","Seattle, WA, USSEA","Dalian, 21, CNDLC",CNDLC,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1150,1150,0,0,1150,1150
USCHI,USTIW,CNDLC,"Chicago, IL, USCHI","Tacoma, WA, USTIW","Dalian, 21, CNDLC",CNDLC,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1150,1150,0,0,1150,1150
USCHI,USLAX,VNHPH,"Chicago, IL, USCHI","Los Angeles, CA, USLAX","Haiphong, , VNHPH",VNHPH,YMJA,YML,051625,DRY,10,5/13/2026,6/30/2026,5/16/2026,1250,1250,0,0,1250,1250
