rateID,unOrig,unVia,unDest,origINL,orig,dest,dischargePort,mode,rateType,hazardousInd,carrierName,via,portLoad,contractNumber,scacCode,freeTime,remarks,commodity,amendmentNumber,effectiveDate,expirationDate,contractEffDate,contractExpirationDate,updateTime,20FT,40FT,40HC,45FT,BASE20FT,ORIGIN20FT,DEST20FT,BAF20FT,ALAM20FT,OTHC20FT,DTHC20FT,PSS20FT,OC20FT,BASE40FT,ORIGIN40FT,DEST40FT,BAF40FT,ALAM40FT,OTHC40FT,DTHC40FT,PSS40FT,OC40FT,BASE40HC,ORIGIN40HC,DEST40HC,BAF40HC,ALAM40HC,OTHC40HC,DTHC40HC,PSS40HC,OC40HC,BASE45FT,ORIGIN45FT,DEST45FT,BAF45FT,ALAM45FT,OTHC45FT,DTHC45FT,PSS45FT,OC45FT,ISPFSEC,TSF,IFS,WFC,BOLCharge,PSAFEE
83672026,USCHS,USCHS,BDCGP,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chattogram/Chittagong, , BDCGP",BDCGP,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 14 Calendar Days, DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. DTI-Extra Free Time 20FT N/A 40FT $60.0040HC $60.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $501.0040HC $501.0040HCREF N/A  added to fuel charges. Subject to Surcharges: ,BAS,DTI,FFFIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,2474.00,2474.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,1913.00,0,0,501.00,0.00,0,0,0.00,60.00,1913.00,0,0,501.00,0.00,0,0,0.00,60.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672027,USCHS,USCHS,CNAQG,"Charleston, SC, USCHS","Charleston, SC, USCHS","Anqing Pt, 34, CNAQG",CNAQG,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. IMP-Import Service Charge 20FT N/A 40FT $1.7440HC $1.74 added to destination charges. Subject to Surcharges: ,BAS,CP1,DTI,FFF,IMPIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,796.00,796.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,303.00,0,0,373.00,0.00,0,0,0.00,120.00,303.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672028,USCHS,USCHS,CNCHQ,"Charleston, SC, USCHS","Charleston, SC, USCHS","Chongqing Pt, 50, CNCHQ",CNCHQ,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. IMP-Import Service Charge 20FT N/A 40FT $1.7440HC $1.74 added to destination charges. Subject to Surcharges: ,BAS,CP1,DTI,FFF,IMPIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,476.00,476.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,-17.00,0,0,373.00,0.00,0,0,0.00,120.00,-17.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672029,USCHS,USCHS,CNCZX,"Charleston, SC, USCHS","Charleston, SC, USCHS","Changzhou Pt, 32, CNCZX",CNCZX,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. IMP-Import Service Charge 20FT N/A 40FT $1.7440HC $1.74 added to destination charges. Subject to Surcharges: ,BAS,CP1,DTI,FFF,IMPIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,770.00,770.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,277.00,0,0,373.00,0.00,0,0,0.00,120.00,277.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672030,USCHS,USCHS,CNDLC,"Charleston, SC, USCHS","Charleston, SC, USCHS","Dalian, 21, CNDLC",CNDLC,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. Subject to Surcharges: ,BAS,CP1,DTI,FFFIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,323.00,323.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,-170.00,0,0,373.00,0.00,0,0,0.00,120.00,-170.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672031,USCHS,USCHS,CNDFG,"Charleston, SC, USCHS","Charleston, SC, USCHS","Dafeng Pt, 22, CNDFG",CNDFG,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. IMP-Import Service Charge 20FT N/A 40FT $1.7440HC $1.74 added to destination charges. Subject to Surcharges: ,BAS,CP1,DTI,FFF,IMPIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,414.00,414.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,-79.00,0,0,373.00,0.00,0,0,0.00,120.00,-79.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672032,USCHS,USCHS,CNFZG,"Charleston, SC, USCHS","Charleston, SC, USCHS","Fuzhou Pt, 23, CNFZG",CNFZG,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. Subject to Surcharges: ,BAS,CP1,DTI,FFFIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,523.00,523.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,30.00,0,0,373.00,0.00,0,0,0.00,120.00,30.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672033,USCHS,USCHS,CNGOM,"Charleston, SC, USCHS","Charleston, SC, USCHS","Gaoming Pt, 44, CNGOM",CNGOM,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. Subject to Surcharges: ,BAS,CP1,DTI,FFFIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,784.00,784.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,291.00,0,0,373.00,0.00,0,0,0.00,120.00,291.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672034,USCHS,USCHS,CNHUA,"Charleston, SC, USCHS","Charleston, SC, USCHS","Huangpu Pt, 44, CNHUA",CNHUA,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. Subject to Surcharges: ,BAS,CP1,DTI,FFFIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,486.00,486.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,-7.00,0,0,373.00,0.00,0,0,0.00,120.00,-7.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
83672035,USCHS,USCHS,CNJIA,"Charleston, SC, USCHS","Charleston, SC, USCHS","Jiangyin Pt, 32, CNJIA",CNJIA,BASE RATE/BULLET,DRY,N,Maersk,"Charleston, SC, USCHS","Charleston, SC, USCHS",300094432,MAEU,"Origin Free Time:DET: 7 Working Days (Gate Out Empty)  DEM: 7 Calendar Days (Gate In Exp F)Destination Free Time:COMB: 18 Calendar days, DRY (Discharge)   DEM-Shekou, Nansha, Yantian: 7 Calendar days, 40'DRY (Discharge)","Subject to:CFD-Congestion Fee Destination  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CFO-Congestion Fee Origin  20FT N/A 40FT N/A 40HC N/A 40HCREF N/A  added to other charges. CP1-Container Protect Essential20FT N/A 40FT $21.7840HC $21.78 collect added to destination charges. DTI-Extra Free Time 20FT N/A 40FT $120.0040HC $120.0040HCREF N/A  added to other charges. FFF-Fossil Fuel Fee  20FT N/A 40FT $373.0040HC $373.0040HCREF N/A  added to fuel charges. IMP-Import Service Charge 20FT N/A 40FT $1.7440HC $1.74 added to destination charges. Subject to Surcharges: ,BAS,CP1,DTI,FFF,IMPIncluded Surcharges: ,CFD,CFODirect Call: NService Mode: CY  /  CY",GARMENTS_TEXTILES,0,2026-04-01,2026-09-30,2025-10-16,2099-12-31,2026-03-24,0.00,633.00,633.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,140.00,0,0,373.00,0.00,0,0,0.00,120.00,140.00,0,0,373.00,0.00,0,0,0.00,120.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
